Property Details	Detalles de la propiedad
Property	Propiedad
Properties	Propiedades
Development	Desarrollo
Developments	Desarrollos
Details	Detalles
Select	Seleccionar
General	General
Rates & Availability	Precios y disponibilidad
Reviews	Comentarios
Description	Descripción
Amenities	Comodidades
Rates	Precios
Availability	Disponibilidad
Compare	Comparar
Property Name	Nombre de la propiedad
Category	Categoría
Beds	Camas
Baths	Baños
Sleeps	Duermen
Book Now	Reservar
Details & Availability	Detalles y disponibilidad
Attractions	Atracciones
Distance	Distancia
Stories	Historias
Floor	Piso
No rates available	Precios no disponibles
Back to Results	Volver a los resultados
Search Buckets	Buscar Cubos
Specials	Especiales
All Rentals	Todos los Alquileres
Would you like to	Le gustaría
Print this Page	Imprimir esta página
Available Properties	Propiedades Disponibles
This page is secure	Esta página es segura
check here	marque aquí
Unit Size	Tamaño de la unidad
Posted on	Publicado el
Map & Attractions	Mapa y atracciones
Map	Mapa
Location	Ubicación
Nearby Rentals	Alquiler cercanas
Enquire Now	Consulte ahora
Have a Question?	¿Tiene una pregunta?
Name	Nombre
Phone	Teléfono
Email	Correo electrónico
Toll Free	Teléfono gratuito
Fax	Fax
Direct	Directo
Mobile	Móvil
Skype	Skype
Web Address	Dirección Web
Contact Us	Contáctenos
Our Address	Nuestra dirección
Talk to Us	Hable con Nosotros
View Larger Map	Ver mapa más grande
Check-In	Registrarse
Check-Out	Echa Un Vistazo
How Did You Hear About Us?	Cómo Se Enteró De Nosotros?
Comments	Comentarios
Submit	Presentar
You May Also Like	También le gustará
News & Events	Noticias y Eventos
Connect With Us	Conecte con Nosotros
Find your InstaVilla	Encuentra tu InstaVilla
Search for Availability	Buscar disponibilidad
Search	Búsqueda
Clear	Claro
Advanced	Avanzado
Applies To	Se aplica a
Adults	Adultos
Children	Niños
Update	Actualización
Close	Cerca
more	más
less	menos
Show More Results	Mostrar más resultados
There are no more results	No hay más resultados
List	Lista
Photo	Foto
View as	Ver como
There are currently no active promotions/specials	Actualmente no hay promociones activas / ofertas
Effective Date	Fecha de vigencia
Expiration Date	Fecha De Expiración
Apply	Aplicar
Coupon Code	Código de cupón
See Details	Vea los detalles
Address	Dirección
City	Ciudad
State	Estado
Country	País
Region	Región
Neighborhood	Barrio
Postal Code	Código Postal
Province	Provincia
Town	Ciudad
Fast Secure Online Booking	Fast Secure Reservas en línea
Charges	Cargos
Taxes & Fees	Impuestos y tasas
Rent (including Taxes,Fees,& Deposits)	Alquiler (incluyendo impuestos, tasas y depósitos)
Rent (including Taxes & Fees)	Alquiler (incluyendo impuestos)
Rent (including Taxes)	Alquiler (incluyendo impuestos)
Rent (including Fees)	Alquiler (incluidas las tarifas)
Optional Fees	Honorarios opcionales
Refundable Security Deposit	Depósito de garantía reembolsable
Booking Details	Datos de la Reserva
Rent	Renta
Fees	Honorarios
Taxes	Impuestos
Optional Fees & Services	Comisiones y Servicios Opcionales
Deposits	Depósitos
Discounts	Descuentos
Sub Total	Sub Total
Total	Total
First Name	Nombre De Pila
Last Name	Apellido
Special Requests	Solicitudes especiales
Change Info	Cambiar información
Accept Terms and Conditions	Aceptar Términos y Condiciones
Please fill out all required fields	Por favor, rellene todos los campos requeridos
The entered credit card is invalid	La tarjeta de crédito introducido no es válido
Please accept the terms and conditions	Por favor, acepte los términos y condiciones
Guest Information	Información del cliente
Credit Card Information	Información de la Tarjeta de Crédito
Name on Card	Nombre en la tarjeta
Card Type	Tipo de tarjeta
Card Number	Número De Tarjeta
Expiration	Caducidad
Month	Mes
Year	Año
Security Code	Código De Seguridad
Amount to be charged now	Cantidad a cobrarse ahora
Amount Paid	Cantidad pagada
Amount Due Now	Importe a Pagar Ahora
Billing Address	Dirección De Envio
Street Line 1	Calle Línea 1
Street Line 2	Calle Línea 2
I have read and accept the terms and conditions	He leído y acepto los términos y condiciones
Terms of Service	Condiciones del servicio
Rental Policy	Política de alquiler
Booking Disclaimer	Reserva Disclaimer
Review Now	Revise Ahora
Reserve Now	Reserva Ahora
You Saved	Salvaste
Status	Estado
Created On	Creado el
Hold Confirmation Number	Hold Número de confirmación
Quoted Rate	Tasa Citado
We are looking forward to your visit	Estamos mirando adelante a su visita
in the mean time	mientras tanto
you may want to review one of these links	es posible que desee revisar uno de estos enlaces
Map and Description of Local Attractions	Mapa y descripción de Atracciones locales
More Info About	Más Información Sobre
located in	situado en
Complete your booking now	Completa tu reserva ahora
click here	haga clic aquí
Your booking will be held until	Su reserva se mantendrá hasta
A service from	Un servicio de
Best Regards	Atentamente
Thank you for your interest in	Gracias por su interés en
Toll-Free	Número gratuito
Confirmed	Confirmado
Held	Celebrada
Checked In	Chequeado En
Checked Out	Desprotegido
Cancelled	Cancelado
Pending Confirmation	A la espera de la confirmación
Weather	Tiempo
Special Offers	Ofertas especiales
Blog	Blog
Featured Suites	Suites destacados
Revise Search	Modificar Búsqueda
Similar Properties	Inmuebles similares
Property Finders	Finders Propiedad
Digital Footprint	Huella digital
Last Booking	Última reservación
Last Email	Última Email
Last Event	Último Evento
Quote is valid for	Cita es válido para
minute(s)	minuto (s)
second(s)	segundo (s)
The credit card number should contain only digits	El número de tarjeta de crédito debe contener sólo dígitos
This quote is not valid any more	Esta cita no es válido más
The page will be automatically refreshed	La página se actualizará automáticamente
You will pay in	El pago se efectúa en
There are no properties in your wish list	No hay propiedades en su lista de deseos
Garage Spaces	Plazas de garaje
An unexpected error occurred	Se ha producido un error inesperado
Please try again later	Por favor, inténtelo de nuevo más tarde
Booking not found	La reserva no encontrado
Make a Payment	Hacer un Pago
Please verify this booking belongs to you	Por favor verifique la tarifa no le pertenece a usted
This booking has been canceled	Esta reserva ha sido cancelada
Pay Now	Pague ahora
Filter by	Filtrar por
Response	Respuesta
See full review on	Ver reseña completa en
Lot Size	Tamaño del lote
Privacy	Intimidad
Privacy Policy	Política De Privacidad
Policy	Política
Terms	Condiciones
My WishList	Mi Lista De Deseos
WishList	Lista De Deseos
WishListed	En su lista de deseos