Property Details	Dettagli dell'immobile
Property	Di Proprietà
Properties	Proprietà
Development	Lo Sviluppo
Developments	Sviluppi
Details	Dettagli
Select	Selezionare
General	Generale
Rates & Availability	Prezzi e disponibilità
Reviews	Recensioni
Description	Descrizione
Amenities	Servizi
Rates	Prezzi
Availability	La Disponibilità
Compare	Confrontare
Property Name	Nome Della Proprietà
Category	Categoria
Beds	Posti Letto
Baths	Terme
Sleeps	Posti letto
Book Now	Prenota Ora
Details & Availability	Dettagli e disponibilità
Attractions	Attrazioni
Distance	Distanza
Stories	Stories
Floor	Il Pavimento
No rates available	Prezzi non disponibili
Back to Results	Torna ai risultati
Search Buckets	Cerca Benne
Specials	Specials
All Rentals	Tutte le case
Would you like to	Vorresti
Print this Page	Stampa questa pagina
Available Properties	Proprietà disponibili
This page is secure	Questa pagina è sicura
check here	controllare qui
Unit Size	Unità Size
Posted on	Postato su
Map & Attractions	Mappa & Attrazioni
Map	Mappa
Location	Posizione
Nearby Rentals	Affitti dintorni
Enquire Now	Informatevi ora
Have a Question?	Avere una domanda?
Name	Nome
Phone	Telefono
Email	Posta Elettronica
Toll Free	Numero Verde
Fax	Fax
Direct	Diretto
Mobile	Mobile
Skype	Skype
Web Address	Indirizzo Web
Contact Us	Contattaci
Our Address	Il nostro indirizzo
Talk to Us	Parla con noi
View Larger Map	Visualizzazione Ingrandita Della Mappa
Check-In	Check In
Check-Out	Alla Cassa
How Did You Hear About Us?	Come Hai Saputo Di Noi?
Comments	Commenti
Submit	Presentare
You May Also Like	Potrebbe piacerti anche
News & Events	Notizie ed eventi
Connect With Us	Collegare con noi
Find your InstaVilla	Trova il tuo InstaVilla
Search for Availability	Cerca Disponibilità
Search	Ricerca
Clear	Chiaro
Advanced	Avanzato
Applies To	Si Applica A
Adults	Adulti
Children	I Figli
Update	Aggiornare
Close	Da Vicino
more	di più
less	di meno
Show More Results	Mostra altri risultati
There are no more results	Non ci sono altri risultati
List	Lista
Photo	Foto
View as	Visualizza come
There are currently no active promotions/specials	Non ci sono attive promozioni / offerte speciali
Effective Date	Data Effettiva
Expiration Date	Data Di Scadenza
Apply	Applicare
Coupon Code	Codice Coupon
See Details	Vedi Dettagli
Address	Indirizzo
City	Città
State	Stato
Country	Paese
Region	Regione
Neighborhood	Quartiere
Postal Code	Codice Postale
Province	Provincia
Town	Città
Fast Secure Online Booking	Veloce Prenotazione online sicura
Charges	Spese
Taxes & Fees	Tasse e commissioni
Rent (including Taxes,Fees,& Deposits)	Rent (comprese le imposte, tasse, e depositi)
Rent (including Taxes & Fees)	Rent (comprese tasse e commissioni)
Rent (including Taxes)	Rent (tasse incluse)
Rent (including Fees)	Rent (comprese le spese)
Optional Fees	Tasse opzionali
Refundable Security Deposit	Cauzione rimborsabile
Booking Details	Booking Dettagli
Rent	Affitto
Fees	Tasse
Taxes	Le Tasse
Optional Fees & Services	Tasse e servizi opzionali
Deposits	Depositi
Discounts	Sconti
Sub Total	Totale Parziale
Total	Totale Complessivo
First Name	Nome
Last Name	Cognome
Special Requests	Richieste Speciali
Change Info	Change Info
Accept Terms and Conditions	Accetta Termini e Condizioni
Please fill out all required fields	Si prega di compilare tutti i campi richiesti
The entered credit card is invalid	La carta di credito inserito non è valido
Please accept the terms and conditions	Si prega di accettare i termini e condizioni
Guest Information	Informazioni Cliente
Credit Card Information	Informazioni sulla carta di credito
Name on Card	Nome sulla carta
Card Type	Tipo Di Carta
Card Number	Numero Di Carta
Expiration	Scadenza
Month	Il Mese
Year	Anno
Security Code	Codice Di Sicurezza
Amount to be charged now	Importo da addebitato
Amount Paid	Importo Pagato
Amount Due Now	Importo Due Ora
Billing Address	Indirizzo Di Fatturazione
Street Line 1	Via Linea 1
Street Line 2	Via Linea 2
I have read and accept the terms and conditions	Ho letto e accettato i termini e le condizioni
Terms of Service	Termini di servizio
Rental Policy	Noleggio Policy
Booking Disclaimer	Prenotazioni Disclaimer
Review Now	Recensione Ora
Reserve Now	Prenota ora
You Saved	Hai salvato
Status	Stato
Created On	Creato il
Hold Confirmation Number	Attesa Numero di conferma
Quoted Rate	Vota Citato
We are looking forward to your visit	Siamo lieti della vostra visita
in the mean time	intanto
you may want to review one of these links	si consiglia di rivedere uno di questi link
Map and Description of Local Attractions	Mappa e descrizione Attrazioni del luogo
More Info About	Maggiori informazioni su
located in	situato in
Complete your booking now	Completa la tua prenotazione ora
click here	clicca qui
Your booking will be held until	La prenotazione si terrà fino
A service from	Un servizio da
Best Regards	Cordiali Saluti
Thank you for your interest in	Grazie per il vostro interesse
Toll-Free	Numero Verde
Confirmed	Confermato
Held	Held
Checked In	Controllato
Checked Out	Controllato
Cancelled	Annullato
Pending Confirmation	In Attesa Di Conferma
Weather	Del Tempo
Special Offers	Offerte Speciali
Blog	Blog
Featured Suites	Suites in vetrina
Revise Search	Modifica la ricerca
Similar Properties	Proprietà simili
Property Finders	Finders di proprietà
Digital Footprint	Digital Footprint
Last Booking	Ultima prenotazione
Last Email	Ultimo Email
Last Event	Ultimo evento
Quote is valid for	Quote è valido per
minute(s)	minuto (s)
second(s)	secondo (s)
The credit card number should contain only digits	Il numero di carta di credito deve contenere solo cifre
This quote is not valid any more	Questa citazione non è più valido
The page will be automatically refreshed	La pagina verrà aggiornata automaticamente
You will pay in	Pagherete in
There are no properties in your wish list	Non ci sono immobili nella tua lista dei desideri
Garage Spaces	Spazi destinati a garage
An unexpected error occurred	Si è verificato un errore imprevisto
Please try again later	Per favore riprova più tardi
Booking not found	La prenotazione non trovato
Make a Payment	Effettua un pagamento
Please verify this booking belongs to you	Controllare questa prenotazione vi appartiene
This booking has been canceled	Questa prenotazione è stata cancellata
Pay Now	Paga Adesso
Filter by	Filtra per
Response	Risposta
See full review on	Vedi recensione completa su
Lot Size	Dimensione Del Lotto
Privacy	Vita privata
Privacy Policy	Informativa Sulla Privacy
Policy	Politica
Terms	Condizioni
My WishList	La Mia Lista Dei Desideri
WishList	Lista Dei Desideri
WishListed	Nella tua lista dei desideri