Property Details	Detalii proprietate
Property	Proprietate
Properties	Proprietăți
Development	Dezvoltare
Developments	Evoluții
Details	Detalii
Select	Selecta
General	General
Rates & Availability	Tarifele și disponibilitatea
Reviews	Review
Description	Descriere
Amenities	Facilitati
Rates	Prețuri
Availability	Disponibilitate
Compare	Comparație
Property Name	Numele de proprietate
Category	Categorie
Beds	Paturi
Baths	Cade
Sleeps	Sleeps
Book Now	Rezerva Acum
Details & Availability	Detalii & Disponibilitatea
Attractions	Atracții
Distance	Distanță
Stories	Povestiri
Floor	Etaj
No rates available	Nu prețuri
Back to Results	Inapoi la rezultate
Search Buckets	Căutare Pistoane
Specials	Speciale
All Rentals	Toate Inchirieri
Would you like to	Ti-ar placea sa
Print this Page	Printeaza aceasta pagina
Available Properties	Proprietăți disponibile
This page is secure	Această pagină este securizat
check here	verifica aici
Unit Size	Dimensiune Unit
Posted on	Postat pe
Map & Attractions	Harta si mai Atracții
Map	Hartă
Location	Locație
Nearby Rentals	Inchirieri apropiere
Enquire Now	Interesați acum
Have a Question?	Ai o întrebare?
Name	Nume
Phone	Telefon
Email	E-mail
Toll Free	Fără Taxă
Fax	Fax
Direct	Direct
Mobile	Mobil
Skype	Skype
Web Address	Adresa Web
Contact Us	Contactați-Ne
Our Address	Adresa noastra
Talk to Us	Vorbește cu noi
View Larger Map	Vezi Larger Map
Check-In	Check-In
Check-Out	Verifică
How Did You Hear About Us?	Cum Ați Auzit Despre Noi?
Comments	Comentarii
Submit	Prezenta
You May Also Like	Ai mai dori, de asemenea
News & Events	Știri și evenimente
Connect With Us	Conectează-te cu noi
Find your InstaVilla	Găsiți InstaVilla ta
Search for Availability	Caută Disponibilitate
Search	Căutare
Clear	Clar
Advanced	Avansat
Applies To	Se aplică Pentru a
Adults	Adulți
Children	Copii
Update	Actualizare
Close	Închidere
more	mai mult
less	mai puțin
Show More Results	Arata mai multe rezultate
There are no more results	Nu exista mai multe rezultate
List	Listă
Photo	Fotografie
View as	Vezi cum
There are currently no active promotions/specials	Momentan nu exista active, promotii speciale /
Effective Date	Data Efectivă
Expiration Date	Data Expirarii
Apply	Aplica
Coupon Code	Cod promoțional
See Details	Vezi detalii
Address	Adresa
City	Oraș
State	De stat
Country	Țară
Region	Regiune
Neighborhood	Cartier
Postal Code	Cod Poștal
Province	Provincie
Town	Oraș
Fast Secure Online Booking	Fast Secure Rezervări
Charges	Taxe
Taxes & Fees	Impozite și Taxe
Rent (including Taxes,Fees,& Deposits)	Inchiriere (inclusiv impozitele, taxele, și Depozite)
Rent (including Taxes & Fees)	Inchiriere (inclusiv taxe și impozite)
Rent (including Taxes)	Inchiriere (inclusiv taxe)
Rent (including Fees)	Inchiriere (inclusiv taxe)
Optional Fees	Taxe opționale
Refundable Security Deposit	Rambursabil de Garantare a Depozitelor
Booking Details	Rezervare Detalii
Rent	Chirie
Fees	Taxe
Taxes	Impozite
Optional Fees & Services	Taxe opționale și Servicii
Deposits	Depozite
Discounts	Reduceri
Sub Total	Sub totală
Total	Total
First Name	Prenume
Last Name	Nume
Special Requests	Cereri speciale
Change Info	Schimbarea Info
Accept Terms and Conditions	Accept Termeni și condiții
Please fill out all required fields	Vă rugăm să completați toate câmpurile obligatorii
The entered credit card is invalid	Cardul de credit introdus nu este valid
Please accept the terms and conditions	Vă rugăm să acceptați termenii și condițiile
Guest Information	Informații de oaspeți
Credit Card Information	Informații Card de credit
Name on Card	Numele de pe card
Card Type	Tipul de card
Card Number	Numărul De Card
Expiration	Expirare
Month	Lună
Year	An
Security Code	Cod De Securitate
Amount to be charged now	Suma urmează să fie percepute acum
Amount Paid	Suma plătită
Amount Due Now	Suma Due acum
Billing Address	Adresa De Facturare
Street Line 1	Strada Linia 1
Street Line 2	Street Linia 2
I have read and accept the terms and conditions	Am citit și acceptați termenii și condițiile
Terms of Service	Conditii de utilizare
Rental Policy	Conditii de Inchiriere
Booking Disclaimer	Rezervare Disclaimer
Review Now	Revizuirea acum
Reserve Now	Rezerva acum
You Saved	Tu salvate
Status	Stare
Created On	Creat pe
Hold Confirmation Number	Hold Numărul de confirmare
Quoted Rate	Rata Citat
We are looking forward to your visit	Așteptăm cu nerăbdare de vizita dumneavoastră
in the mean time	între timp
you may want to review one of these links	poate doriți să revizuiască una dintre aceste link-uri
Map and Description of Local Attractions	Harta și Descrierea Atracții locale
More Info About	Mai multe informații despre
located in	situat în
Complete your booking now	Completați rezervarea acum
click here	click aici
Your booking will be held until	Rezervare va avea loc până la
A service from	Un serviciu de la
Best Regards	Salutări
Thank you for your interest in	Vă mulțumim pentru interesul dumneavoastră în
Toll-Free	Fără Taxă
Confirmed	Confirmat
Held	Held
Checked In	Verificat în
Checked Out	Împrumutat
Cancelled	Anulate
Pending Confirmation	În așteptarea Confirmare
Weather	Vreme
Special Offers	Oferte Speciale
Blog	Blog
Featured Suites	Suites recomandate
Revise Search	Căutare Revizuirea
Similar Properties	Proprietăți similare
Property Finders	Finders de proprietate
Digital Footprint	Digital Amprenta
Last Booking	Ultima rezervare
Last Email	Ultima e-mail
Last Event	Ultima eveniment
Quote is valid for	Citat este valabil pentru
minute(s)	minut (e)
second(s)	al doilea (s)
The credit card number should contain only digits	Numărul cardului de credit ar trebui să conțină numai cifre
This quote is not valid any more	Acest citat nu este valabil mai
The page will be automatically refreshed	Pagina va fi actualizat automat
You will pay in	Veți plăti în
There are no properties in your wish list	Nu exista proprietati in lista ta de dorinte
Garage Spaces	Spatii de garaj
An unexpected error occurred	A apărut o eroare neașteptată
Please try again later	Vă rugăm să încercați din nou mai târziu
Booking not found	Rezervare nu a fost găsit
Make a Payment	Efectuați o plată
Please verify this booking belongs to you	Vă rugăm să verificați acest rezervări vă aparține
This booking has been canceled	Acest rezervarea a fost anulat
Pay Now	Plateste Acum
Filter by	Filtrul de la
Response	Răspuns
See full review on	Vezi comentariul complete cu privire la
Lot Size	Suprafata teren
Privacy	Intimitate
Privacy Policy	Politica De Confidențialitate
Policy	Politică
Terms	Termeni
My WishList	Lista mea de dorințe
WishList	Lista de dorințe
WishListed	În lista de dorinte